record_id,action,editor,date,notes
P1994R0271,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0277,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0307,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0331,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0359,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0371,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0422,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0432,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0433,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0435,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0450,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0451,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0461,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0505,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0507,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0513,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0519,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0520,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0528,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0529,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0530,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1994R0531,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0012,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0016,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0017,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0021,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0055,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0065,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0066,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0073,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0094,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0103,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0114,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0127,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0140,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0187,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0189,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0208,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0228,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0309,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0310,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0312,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0313,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0357,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0371,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0385,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1995R0387,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0009,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0010,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0014,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0055,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0056,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0061,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0077,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0099,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0108,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0109,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0110,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0115,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0139,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0142,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0147,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0151,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0152,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0157,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0176,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0185,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0197,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0225,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0233,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0290,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0365,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0366,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0367,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0374,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0385,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0386,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0389,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0409,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0410,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0411,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0412,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0413,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1996R0442,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0013,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0027,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0028,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0044,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0102,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0127,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0172,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0180,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0193,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0197,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0202,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0223,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0224,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0225,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0226,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0227,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0228,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0229,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0230,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0250,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0261,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0274,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
P1997R0324,add,HED,3/17/2021,refer to file ZAP_20210317.xslx for record correction
