,xcoord,ycoord,coord_source,grc,grc2,msg,msg2,hnum,sname,house,bbl
131,1004269,0187246,Address Geosupport,00,,,,179,CHAUNCEY STREET,179,3016870080
132,1004130,0186238,Address Geosupport,00,,,,13,HUNTERFLY PLACE,13,3017080067
133,1005120,0186092,Address Geosupport,00,,,,50,BUFFALO AVENUE,50,3017100049
134,1005117,0186056,Address Geosupport,00,,,,54,BUFFALO AVENUE,54,3017100051
135,1005029,0185980,Address Geosupport,00,,,,1835,ATLANTIC AVENUE,1835,3017100052
136,1006469,0234798,Address Geosupport,00,,,,445,EAST 142 STREET,445,2022870071
137,1014286,0252148,BBL Geosupport,00,,,,,,,
138,1011065,0178754,Address Geosupport,00,,,,47,NEW LOTS AVENUE,47,3038550040
139,1010330,0184478,Address Geosupport,00,,,,120,LIBERTY AVENUE,120,3036930022
140,1010456,0178647,Address Geosupport,00,,,,609,OSBORN STREET,609,3036280009
141,1009498,0240919,Address Geosupport,00,,,,1074,WASHINGTON AVENUE,1074,2023700016
142,1011523,0179016,Address Geosupport,00,,,,96,NEW LOTS AVENUE,96,3038620001
143,1037866,0194052,Address Geosupport,00,,,,147-07,94 AVENUE,147-07,4099980025
144,1012614,0185987,Address Geosupport,00,,,,2628,FULTON STREET,2628,3036690013
145,1017178,0244886,Address Geosupport,00,,,,1923,WEST FARMS ROAD,1923,2030160060
146,1004697,0254774,Address Geosupport,00,,,,4790,BROADWAY,4790,1022330013
147,1004079,0190768,Address Geosupport,00,,,,811,LEXINGTON AVENUE,811,3016220051
148,1039755,0196719,Address Geosupport,00,,,,161-09,89 AVENUE,161-09,4097670001
149,1005849,0243367,Address Geosupport,00,,,,1159,RIVER AVENUE,1159,2024960073
150,1016138,0248079,Address Geosupport,01,,ADDR NUMBER ALTERED: RANGE ASSUMED. USING DIGITS BEFORE DASH ONLY,,2126-28,MAPES AVENUE,2126-28,2031110035
151,1007995,0248539,BBL Geosupport,00,,,,,,,
152,1055370,0198257,Address Geosupport,00,,,,106-10,215 STREET,106-10,4110990062
153,1052353,0192777,Address Geosupport,00,,,,198-16,116 AVENUE,198-16,4110700147
154,1040269,0186632,Address Geosupport,00,,,,117-11,143 STREET,117-11,4120170049
155,1039883,0186627,Address Geosupport,00,,,,142-06,FOCH BOULEVARD,142-06,4120140003
156,1055259,0198010,Address Geosupport,00,,,,214-15,HOLLIS AVENUE,214-15,4110990076
157,1049373,0198033,Address Geosupport,00,,,,99-19,194 STREET,99-19,4108410001
158,1038996,0182996,Address Geosupport,00,,,,133-24,135 PLACE,133-24,4117950068
159,1055293,0193882,Address Geosupport,00,,,,209-26,NASHVILLE BOULEVARD,209-26,4110550021
160,1036556,0187399,Address Geosupport,00,,,,114-11,130 STREET,114-11,4116560067
161,1051465,0198297,Address Geosupport,00,,,,100-40,202 STREET,100-40,4108680026
162,1036265,0186000,Address Geosupport,00,,,,126-01,116 AVENUE,126-01,4116700040
163,1055495,0196795,Address Geosupport,00,,,,111-50,WITTHOFF STREET,111-50,4111270044
164,1053329,0193117,Address Geosupport,00,,,,202-06,116 AVENUE,202-06,4110740054
165,1052780,0159582,Address Geosupport,00,,,,20-52,MOTT AVENUE,20-52,4155370001
166,1054205,0158478,Address Geosupport,00,,,,14-35,MOTT AVENUE,14-35,4155740036
167,1052602,0159216,Address Geosupport,01,,CAUTION: BLOCK FACE CONTAINS OUT-OF-SEQUENCE AND/OR OPPOSITE PARITY ADDRESSES,,1051,BEACH 21 STREET,1051,4157050059
168,0946813,0170955,Address Geosupport,00,,,,221,PORT RICHMOND AVENUE,221,5010350012
169,1008597,0215811,Address Geosupport,00,,,,46-09,31 AVENUE,46-09,4007280005
170,1013339,0243228,Address Geosupport,00,,,,1472,BOSTON ROAD,1472,2029640042
171,1008639,0248393,Address Geosupport,00,,,,1769,JEROME AVENUE,1769,2028610163
